row,move,count
1090,R8b6,5795
1091,Naxb4,2033
1092,N3d2,16896
1093,Nh1,61657
1094,Nhf1,6159
1095,Ndxc4,16326
1096,Rdg2,13222
1097,Rfxf4,6577
1098,Ndxf3,11277
1099,Nfxe4,33946
1100,Rfe3,24402
1101,Rexe3,9950
1102,Rgxe5,1686
1103,R7e4,4111
1104,Rbb1,53589
1105,Rdc2,25005
1106,Rfe2,43204
1107,Ree2,120651
1108,Rfa8,85479
1109,R2xa5,441
1110,Rgd6,4560
1111,Rbf2,12369
1112,Rhf7,11916
1113,Nge6,11530
1114,Ndc3,18539
1115,N4g6,573
1116,N8d7,61140
1117,Red3,24317
1118,g8=R,5679
1119,Neg3,14502
1120,Nfg3,10323
1121,Rhc1,98577
1122,Rdxd7,14817
1123,Rdc7,25461
1124,Rcd2,31119
1125,g1=Q,258106
1126,Rgxf8,2400
1127,Ndf8,16542
1128,N4d5,7133
1129,Rbh1,7049
1130,Rdxb4,1242
1131,Rbb2,49531
1132,Ncxd5,25292
1133,Ncd8,2265
1134,Nde6,11679
1135,N6g4,1181
1136,Rdd2,130132
1137,e1=Q,222593
1138,R1c6,10120
1139,R8e7,54963
1140,R5e2,10761
1141,Rbe8,127087
1142,Nbxd7,85403
1143,Nfxd5,70254
1144,Rde5,10960
1145,Nbd3,11375
1146,Ngxf6,16395
1147,Kxa1,46997
1148,R2e3,13874
1149,exd1=Q,12325
1150,R1h6,6723
1151,Rch8,10499
1152,R1c7,7311
1153,Ned5,70705
1154,Rba7,5606
1155,fxe7,53941
1156,Rde7,40415
1157,Rgg8,24078
1158,Rae2,13222
1159,Rhf2,10934
1160,Nfh5,6540
1161,R2xd5,1050
1162,Nef3,59310
1163,Q8e7,914
1164,Red4,12753
1165,Red6,17444
1166,Raf3,3023
1167,fxe8=Q,12060
1168,R3d2,18555
1169,Rae4,3116
1170,Rfa3,1376
1171,R2a3,4077
1172,Rgf3,21217
1173,Rab4,6678
1174,Rba8,11789
1175,Ndxb4,6554
1176,R4d5,6564
1177,Rfd5,6887
1178,Rda2,3875
1179,Reg1,26392
1180,R6e7,15630
1181,Rbd7,17250
1182,R1f3,17926
1183,Rfd4,7439
1184,Rexe4,9296
1185,Rda8,12657
1186,N8h7,8812
1187,Ngxe2,40114
1188,Rge8,51989
1189,Rec8,144568
1190,Nac5,24010
1191,Rfxf7,30431
1192,Nfxg5,11302
1193,Qgf6,1412
1194,Rgh2,6619
1195,R3f7,4435
1196,Ndxb3,1002
1197,Rhxd8,3544
1198,R7f3,3907
1199,Rgxg7,14577
1200,R2d7,4719
1201,R6d7,14387
1202,Red7,43535
1203,Qbd3,2890
1204,Qce3,2909
1205,Qde2,2593
1206,Q3f2,232
1207,Qef3,1443
1208,Qfxf4,562
1209,Rdxd5,9970
1210,Rgd5,3563
1211,Rda4,2061
1212,N6h7,4071
1213,exf1=R,382
1214,Ngf5,16900
1215,R2xf5,683
1216,Nhxf3,3791
1217,R1d3,21244
1218,R5d4,6942
1219,Rda1,13339
1220,Nhg4,15521
1221,Rfxd6,2944
1222,Ref6,13041
1223,Rdb5,3238
1224,R8b7,15917
1225,exf8=Q,22486
1226,Qcc6,6594
1227,Qef6,1378
1228,Qcf6,687
1229,Qgxg6,637
1230,Qgxf5,221
1231,Q6e5,389
1232,Qeg3,2500
1233,Qhh2,4098
1234,Qgg1,4597
1235,Nfe7,38113
1236,Rbxe2,1727
1237,Qbg2,418
1238,Qhc1,839
1239,Rfd2,29321
1240,R2e7,4556
1241,R3d4,8442
1242,Nhf5,37190
1243,Rhxg7,2400
1244,Ree3,39280
1245,Ndxf5,4395
1246,Rhxf6,2047
1247,Qgb6,594
1248,Qbd4,1462
1249,Qee3,6331
1250,Qdd2,7758
1251,Rgb7,4252
1252,Rcxe4,2587
1253,N3e4,8223
1254,Rgd1,33984
1255,Ndxe3,3142
1256,Ref1,87833
1257,Qbd2,1790
1258,R1c2,31981
1259,Ref4,9222
1260,R4f5,6214
1261,R7xe4,1224
1262,Red2,51917
1263,Rexe1,2350
1264,Rfh5,4084
1265,R2xd3,1650
1266,Rdb1,41037
1267,Rdxf2,4866
1268,Rdf2,24715
